state,county_state,county_fips_code,urbanicity_2,65_plus_yn,COUNT
MN,"STEARNS, MN",27145,Metro counties,Y,7749
AL,"ANCHORAGE, AL",02020,Metro counties,N,7
KY,"MENIFEE, KY",21165,Non-metro counties,Y,268
NY,"SCHENECTADY, NY",36093,Metro counties,N,42178
IL,"CUMBERLAND, IL",17035,Non-metro counties,N,3252
KY,"CRITTENDEN, KY",21055,Non-metro counties,N,2282
MT,"UTAH, UT",49049,Metro counties,N,5
IA,"TAMA, IA",19171,Non-metro counties,Y,484
MT,"FULTON, IL",17057,Non-metro counties,N,2
AR,"WHITE, AR",05145,Non-metro counties,Y,4040
WA,"KITTITAS, WA",53037,Non-metro counties,Y,1287
GA,"TATTNALL, GA",13267,Non-metro counties,Y,553
AL,"ALLEGHENY, PA",42003,Metro counties,N,4
WI,"ROCK, WI",55105,Metro counties,N,45466
KY,"HICKMAN, KY",21105,Non-metro counties,Y,245
MS,"NESHOBA, MS",28099,Non-metro counties,Y,160
NY,"BROOME, NY",36007,Metro counties,Y,10047
KS,"SALINE, KS",20169,Non-metro counties,Y,2723
TN,"MONTGOMERY, VA",51121,Metro counties,Y,43
MD,"WICOMICO, MD",24045,Metro counties,Y,1084
AZ,"LA PAZ, AZ",04012,Non-metro counties,Y,1294
MD,"BALTIMORE CITY, MD",24510,Metro counties,Y,4975
AL,"COBB, GA",13067,Metro counties,N,13
TX,"YUMA, AZ",04027,Metro counties,N,8
CA,"FRESNO, CA",06019,Metro counties,Y,31194
MO,"LACLEDE, MO",29105,Non-metro counties,Y,1791
MD,"CARROLL, MD",24013,Metro counties,Y,1820
NM,"LINCOLN, NM",35027,Non-metro counties,N,5557
UT,"SUMMIT, UT",49043,Non-metro counties,N,13154
UT,"PIUTE, UT",49031,Non-metro counties,N,220
WA,"SPOKANE, WA",53063,Metro counties,N,133297
TX,"SALT LAKE, UT",49035,Metro counties,N,28
IL,"MCDONOUGH, IL",17109,Non-metro counties,N,7700
TX,"WASHINGTON, AR",48477,Non-metro counties,N,3
GA,"HARRIS, TX",48201,Metro counties,N,9
VA,"ARLINGTON, VA",51013,Metro counties,N,49721
AL,"GREENVILLE, SC",45045,Metro counties,Y,3
GA,"TATTNALL, GA",13267,Non-metro counties,N,4009
TX,"LIMESTONE, TX",48293,Non-metro counties,Y,322
NM,"BOSQUE, TX",48035,Non-metro counties,Y,1
IA,"SIOUX, IA",19167,Non-metro counties,Y,1217
CO,"SAN MIGUEL, CO",08113,Non-metro counties,Y,235
KY,"BALLARD, KY",21007,Non-metro counties,N,1246
AK,"NORTHWEST ARCTIC, AK",02188,Non-metro counties,N,3001
OK,"PUSHMATAHA, OK",40127,Non-metro counties,N,2600
CO,"WELD, CO",08123,Metro counties,N,94788
FL,"SARASOTA, FL",12115,Metro counties,Y,23977
WA,"ADAMS, WA",53001,Non-metro counties,N,5105
NC,"EDGECOMBE, NC",37065,Metro counties,N,14672
TX,"FAYETTE, TX",48149,Non-metro counties,Y,255
WV,"RANDOLPH, WV",54083,Non-metro counties,N,150
TX,"FAIRFAX, VA",51059,Metro counties,N,58
ND,"CAVALIER, ND",38019,Non-metro counties,N,725
KY,"HARDIN, KY",21093,Metro counties,N,31253
NM,"LINCOLN, NM",35027,Non-metro counties,Y,949
MI,"DELTA, MI",26041,Non-metro counties,Y,2488
MI,"CRAWFORD, MI",26039,Non-metro counties,N,2578
WA,"COWLITZ, WA",53015,Metro counties,N,23248
AR,"MISSISSIPPI, AR",05093,Non-metro counties,N,14166
TX,"HARRISON, TX",48203,Non-metro counties,Y,846
NE,"KEARNEY, NE",31099,Non-metro counties,N,1107
NC,"EDGECOMBE, NC",37065,Metro counties,Y,3024
WV,"RANDOLPH, WV",54083,Non-metro counties,Y,25
KY,"MILWAUKEE, WI",55079,Metro counties,N,1
WV,"WAYNE, WV",54099,Metro counties,Y,79
TX,"WASHINGTON, TX",48477,Non-metro counties,Y,647
KS,"JEFFERSON, CO",20087,Metro counties,N,1
AZ,"YUMA, AZ",04027,Metro counties,Y,10425
GA,"STEPHENS, GA",13257,Non-metro counties,N,3135
TN,"LAKE, TN",47095,Non-metro counties,Y,543
TX,"FLAGLER, FL",12035,Metro counties,N,6
WA,"COLUMBIA, WA",53013,Metro counties,N,585
MS,"LAUDERDALE, MS",28075,Non-metro counties,Y,290
IN,"WINDHAM, VT",50025,Non-metro counties,N,1
IL,"FULTON, IL",17057,Non-metro counties,N,11061
MS,"NESHOBA, MS",28099,Non-metro counties,N,902
KY,"MERCER, FL",21167,Non-metro counties,N,1
PR,"GUAYNABO, PR",72061,,N,3816
PR,"COMERÍO, PR",72045,,N,871
TX,"NACOGDOCHES, TX",48347,Non-metro counties,N,13512
TX,"FRANKLIN, TX",48159,Non-metro counties,N,2384
TX,"WILSON, TX",48493,Metro counties,N,11263
LA,"TANGIPAHOA, LA",22105,Metro counties,N,36788
OK,"WASHITA, OK",40149,Non-metro counties,N,2668
NM,"TULARE, CA",06107,Metro counties,N,7
WA,"SKAMANIA, WA",53059,Metro counties,N,1581
TX,"GARVIN, OK",40049,Non-metro counties,N,8
TX,"UTAH, UT",49049,Metro counties,N,8
TN,"HAYWOOD, TN",47075,Non-metro counties,Y,1216
SD,"FAULK, SD",46049,Non-metro counties,N,464
WA,"ASOTIN, WA",53003,Metro counties,N,4534
AL,"MONMOUTH, NJ",34025,Metro counties,N,4
UT,"BOX ELDER, UT",49003,Metro counties,Y,1737
AL,"TERREBONNE, LA",22109,Metro counties,N,6
VA,"FAIRFAX, VA",51059,Metro counties,N,207360
TN,"WHITE, AR",05145,Non-metro counties,N,2
LA,"ST. JAMES, LA",22093,Metro counties,Y,1078
TN,"MONTGOMERY, VA",51121,Metro counties,N,360
GA,"PALM BEACH, FL",12099,Metro counties,Y,3
ND,"EDDY, ND",38027,Non-metro counties,N,677
IL,"MCDONOUGH, IL",17109,Non-metro counties,Y,1320
IA,"FRANKLIN, IA",19069,Non-metro counties,N,1408
TX,"SUMMIT, UT",49043,Non-metro counties,N,4
GA,"UNION, GA",13291,Non-metro counties,N,2516
GA,"SARASOTA, FL",12115,Metro counties,N,9
MS,"JEFFERSON, MS",28063,Non-metro counties,N,144
MA,"ESSEX, MA",25009,Metro counties,Y,37354
WA,"KITSAP, WA",53035,Metro counties,Y,7174
WA,"KLICKITAT, WA",53039,Non-metro counties,Y,681
IN,"WHITLEY, IN",18183,Metro counties,Y,1776
AL,"PRENTISS, MS",28117,Non-metro counties,N,2
FL,"PALM BEACH, OK",12099,Metro counties,Y,1
VA,"ARLINGTON, VA",51013,Metro counties,Y,4336
CO,"SAN MIGUEL, CO",08113,Non-metro counties,N,2464
LA,"ST. JAMES, LA",22093,Metro counties,N,6071
WA,"COWLITZ, WA",53015,Metro counties,Y,4007
TX,"PARKER, TX",48367,Metro counties,Y,536
SD,"SULLY, SD",46119,Non-metro counties,N,203
FL,"SARASOTA, FL",12115,Metro counties,N,65422
TX,"STARK, OH",39151,Metro counties,N,5
TX,"WASHINGTON, UT",48477,Non-metro counties,N,1
IN,"CASS, IN",18017,Non-metro counties,Y,2129
WA,"SNOHOMISH, WA",53061,Metro counties,Y,21204
KS,"TREGO, KS",20195,Non-metro counties,Y,236
AL,"HARRIS, TX",48201,Metro counties,N,37
KY,"MERCER, KY",21167,Non-metro counties,Y,912
VT,"ORANGE, VT",50017,Non-metro counties,N,4052
GA,"DOUGHERTY, GA",13095,Metro counties,Y,2440
MT,"BIG HORN, MT",30003,Non-metro counties,N,4435
TX,"SAN JUAN, PR",72127,,N,8
NE,"PHELPS, NE",31137,Non-metro counties,Y,582
SC,"GREENE, NC",37079,Non-metro counties,N,8
